,Satellite ID(Fake),Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Users,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
69,70,Starlink-1078,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001Y,44936.0
70,71,Starlink-1079,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001Z,44937.0
71,72,Starlink-1080,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AZ,44961.0
72,73,Starlink-1081,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001BA,44962.0
73,74,Starlink-1082,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AA,44938.0
74,75,Starlink-1083,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AB,44939.0
75,76,Starlink-1084,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001B,44915.0
76,77,Starlink-1085,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001BB,44963.0
77,78,Starlink-1086,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.5,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001BC,44964.0
78,79,Starlink-1088,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001BE,44966.0
79,80,Starlink-1089,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,90.5,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001BF,44967.0
80,81,Starlink-1090,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.3,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001BG,44968.0
81,82,Starlink-1091,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AC,44940.0
82,83,Starlink-1092,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.3,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001BH,44969.0
83,84,Starlink-1093,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001BJ,44970.0
84,85,Starlink-1094,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.4,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AD,44941.0
85,86,Starlink-1095,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,90.5,227.0,2020-01-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001BK,44971.0
